date,open,high,low,close,volume
12/13/2002,59.0703,59.4448,58.6498,58.6958,36862200
12/16/2002,59.0112,60.3055,58.9061,60.2135,37098400
12/17/2002,60.0295,60.2726,59.6156,59.6879,32353900
12/18/2002,59.3397,59.3922,58.6893,58.998,35612600
12/19/2002,58.7024,59.5893,58.2096,58.5776,39264200
12/20/2002,58.8878,59.4291,58.8218,59.4093,31176900
12/23/2002,59.1452,59.7262,58.9604,59.4291,22599300
12/24/2002,59.1452,59.3235,58.9208,58.9868,10937000
12/26/2002,59.2179,59.8186,58.6501,59.0132,17485600
12/27/2002,58.7293,58.9472,57.6863,57.6863,22205700
12/30/2002,57.9569,58.4058,57.5806,58.1682,29968000
12/31/2002,58.089,58.3794,57.508,58.2474,34036600
1/2/2003,58.6567,60.2741,58.4521,60.1223,44516300
1/3/2003,60.0167,60.327,59.746,60.3072,32222600
1/6/2003,60.2345,61.7199,60.1883,61.37,40984500
1/7/2003,61.3304,61.6407,60.8683,61.2182,38640400
1/8/2003,60.8683,61.0003,60.1091,60.3336,38702200
1/9/2003,60.6174,61.5153,60.3468,61.271,34804900
1/10/2003,60.7033,61.819,60.6042,61.4361,37768900
1/13/2003,61.7529,61.9642,61.0267,61.4163,31649900
1/14/2003,61.1918,61.9444,61.0069,61.6143,30733000
1/15/2003,61.7529,61.7727,60.6769,61.0003,33511800
1/16/2003,61.0664,61.3502,60.3732,60.7495,44812100
1/17/2003,60.0695,60.9343,59.5149,59.8516,35618300
1/21/2003,59.9903,60.0233,58.7227,58.9208,36826200
1/22/2003,58.6039,59.2839,58.0956,58.2078,42286500
1/23/2003,58.5907,59.0066,58.0626,58.5643,55919800
1/24/2003,58.4851,58.5445,56.8874,57.0261,68633900
1/27/2003,56.597,57.3034,55.7849,56.2471,57884400
1/28/2003,56.5309,57.0393,56.2009,56.663,46929100
1/29/2003,56.3923,57.5542,55.9632,57.0921,53712200
1/30/2003,57.2967,57.3562,55.7189,55.7387,49845900
1/31/2003,55.5539,56.9138,55.5539,56.8148,55317000
2/3/2003,56.8676,57.31,56.7224,56.9271,39696000
2/4/2003,56.3197,56.6102,55.6529,56.3659,43633400
2/5/2003,56.6102,57.1317,55.7717,56.016,55270600
2/6/2003,55.6991,56.0424,55.2238,55.7519,53638000
2/7/2003,56.0556,56.1084,54.7749,55.072,43165000
2/10/2003,55.0984,55.5407,54.5636,55.4615,45455900
2/11/2003,55.6991,56.0358,54.6824,55.0786,46861000
2/12/2003,54.9003,55.204,54.1939,54.2005,35873600
2/13/2003,54.2335,54.5702,53.4743,54.3656,57934100
2/14/2003,54.3788,55.5869,54.0157,55.5539,59580900
2/18/2003,55.8047,56.6432,55.7123,56.5309,39492700
2/19/2003,56.3263,56.4253,55.6397,56.2339,31432000
2/20/2003,56.2537,56.3923,55.4879,55.6727,29280100
2/21/2003,55.7057,56.6036,55.0984,56.2339,60955800
2/24/2003,56.0688,56.115,55.1842,55.3228,30628600
2/25/2003,54.7617,55.7783,54.2797,55.7651,56770600
2/26/2003,55.4681,55.8047,54.8475,54.9531,37787200
2/27/2003,55.2568,55.95,54.9003,55.6793,51126000
2/28/2003,55.7651,56.2669,55.5605,56.049,43666800
3/3/2003,56.2867,56.63,55.27,55.5143,42923100
3/4/2003,55.4218,55.4615,54.5636,54.6296,31440500
3/5/2003,54.5372,55.1512,54.3722,55.0918,43974700
3/6/2003,54.7089,55.138,54.4448,54.6296,41217700
3/7/2003,53.877,55.4483,53.7582,55.0059,63538000
3/10/2003,54.5306,54.7023,53.5403,53.6856,41014100
3/11/2003,53.7912,54.1345,53.131,53.1574,48102700
3/12/2003,53.065,53.5403,52.4048,53.5139,62459800
3/13/2003,54.2533,55.3954,53.8242,55.3624,72117800
3/14/2003,55.5869,55.9632,55.0257,55.5407,63951800
3/17/2003,55.0984,57.4024,54.9399,57.2901,88217500
3/18/2003,57.5344,57.6664,56.9601,57.6268,50792300
3/19/2003,57.6202,58.2012,57.2241,58.0692,49630800
3/20/2003,57.6532,58.4851,57.0063,58.1946,67321600
3/21/2003,58.8551,59.5709,58.2785,59.4318,71165300
3/24/2003,58.3382,58.4177,57.2313,57.4567,65398900
3/25/2003,57.4898,58.4972,57.291,58.0068,61040100
3/26/2003,58.0333,58.2255,57.5296,57.7152,45740800
3/27/2003,57.2645,58.0996,56.9927,57.7615,53120200
3/28/2003,57.3109,57.8477,57.165,57.4699,32583000
3/31/2003,56.5685,57.3904,55.9389,56.1642,61119500
4/1/2003,56.5023,57.2578,56.2769,57.0259,53574000
4/2/2003,58.02,58.8353,57.9935,58.4044,50431200
4/3/2003,58.9015,58.9811,58.0929,58.1261,48755500
4/4/2003,58.6099,58.716,58.0731,58.4707,36250100
4/7/2003,59.8758,60.2138,58.305,58.3581,69776200
4/8/2003,58.5238,58.7557,58.1327,58.4508,39712700
4/9/2003,58.5635,59.054,57.5097,57.682,55647300
4/10/2003,57.7218,58.0797,56.8071,58.0002,41812400
4/11/2003,58.431,58.7889,57.5693,57.7615,47730100
4/14/2003,57.9736,58.9877,57.6621,58.9546,36711700
4/15/2003,58.8816,59.5047,58.6033,59.5047,49709800
4/16/2003,59.5908,59.6902,58.3448,58.4906,51788000
4/17/2003,58.5238,59.4649,58.4508,59.3589,37403100
4/21/2003,59.5577,59.7565,59.0275,59.4185,32052700
4/22/2003,59.054,60.6844,58.9148,60.5386,59763600
4/23/2003,60.7242,61.208,60.4723,61.0953,44227100
4/24/2003,60.6645,61.0291,60.2868,60.5519,49692400
4/25/2003,60.5121,60.6248,59.6637,59.8029,43917200
4/28/2003,59.9421,61.102,59.8493,60.8369,46432900
4/29/2003,61.0688,61.5063,60.5784,61.049,52017100
4/30/2003,60.9164,61.3538,60.585,60.9164,48709100
5/1/2003,60.923,61.4599,59.9819,60.9098,50240400
5/2/2003,60.6844,61.9503,60.638,61.778,50201500
5/5/2003,61.9503,62.1558,61.3074,61.6587,35437800
5/6/2003,61.6653,62.5535,61.6388,62.242,44401000
5/7/2003,61.9172,62.3944,61.6189,61.8973,41413100
5/8/2003,61.3207,61.8575,61.1616,61.2743,40570700
5/9/2003,61.5262,62.1691,61.3803,62.1227,33608100
5/12/2003,61.9702,63.0439,61.8244,62.8849,35662300
5/13/2003,62.6529,63.0837,62.4739,62.7722,39253600
5/14/2003,63.024,63.1235,62.242,62.6396,32195100
5/15/2003,62.8915,63.1831,62.4673,63.0373,43879200
5/16/2003,62.8915,63.2626,62.4739,62.8782,38905000
5/19/2003,62.401,62.58,61.1948,61.4069,41606000
5/20/2003,61.5195,61.6587,60.7043,61.2809,55404600
5/21/2003,61.049,61.5593,60.9164,61.4069,49333800
5/22/2003,61.6057,62.3348,61.4267,62.0166,38421800
5/23/2003,61.9901,62.2884,61.7316,62.1425,26155900
5/27/2003,61.8377,63.5211,61.6852,63.2295,43719200
5/28/2003,63.5278,63.9387,63.2494,63.4085,37727100
5/29/2003,63.5476,64.1707,63.0174,63.2428,50844200
5/30/2003,63.5609,64.3496,63.3356,64.2568,52529500
